Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"EK Adae, RE Hinson",Resisting the System: Examining How Activist Chief Executive Officers (CEOs) Drive Positive Social Change in Ghana's Fourth Republic,2024,"… Institutions, Party Politics and Communication in …",Springer,https://link.springer.com/chapter/10.1007/978-3-031-54744-7_10,,18,12/12/24 10:04,,10.1007/978-3-031-54744-7_10,,,,,,,0,0,0,2,1,… with 24 self-identified CEOs to explore the role of CEO activists within Ghana Fourth Republic… with the development of CEO activism in Ghana and the role of activist CEOs in the nation’s …,,https://scholar.google.com/scholar?q=related:-ZXZJquUucgJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
2,"SC Jackson, CP Agoglia, MD Piercey","Do Investors Prefer Female CEOs in Activist-Targeted Firms? The Role of CEO Gender, Shareholder Activism Type, and Earnings Guidance Disclosure",2024,"… , Shareholder Activism …",papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4075438,https://scholar.google.com/scholar?cites=15451072925946519864&as_sdt=2005&sciodt=2007&hl=en,19,12/12/24 10:04,,,,,,,,,2,2,1,3,1,"… the increasing trend of shareholder activism and its impact on … female CEOs are more likely to be targeted by shareholder activism, we examine how the nature of shareholder activism (…",https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4075438,https://scholar.google.com/scholar?q=related:OKGyffY8bdYJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
6,"K Podnar, U Golob",Brands and activism: ecosystem and paradoxes,2024,Journal of Brand Management,Springer,https://link.springer.com/article/10.1057/s41262-024-00355-y,https://scholar.google.com/scholar?cites=3109770548887014734&as_sdt=2005&sciodt=2007&hl=en,20,12/12/24 10:04,HTML,10.1057/s41262-024-00355-y,,,,,,,6,6,3,2,1,"… little expenditure of CEO effort or company resources. However, this is not always the case, as some CEO activists use their companies to achieve and manifest their activist mission. …",https://link.springer.com/article/10.1057/s41262-024-00355-y,https://scholar.google.com/scholar?q=related:Ts1hg9YfKCsJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
3,"J Foust, B St John III","Public relations, activism, and the culture of assertion: The case of Blackrock's Larry Fink and the letter to the CEOs",2024,Public Relations Inquiry,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/2046147X231224830,https://scholar.google.com/scholar?cites=8242392790579571272&as_sdt=2005&sciodt=2007&hl=en,21,12/12/24 10:04,,10.1177/2046147X231224830,,,,,,,3,3,2,2,1,"… that public relations scholarship on activism needs to better … Blackrock CEO Larry Fink, we show how his corporate activist … external and internal approaches to activism, which is further …",,https://scholar.google.com/scholar?q=related:SGq8rZLcYnIJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
2,"J Yu, YS Liu",Gender diversity and environmental activism: Gender discrimination or socialisation?,2024,Business Strategy and the Environment,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/bse.3751,https://scholar.google.com/scholar?cites=13182774196795515929&as_sdt=2005&sciodt=2007&hl=en,22,12/12/24 10:04,,10.1002/bse.3751,,,,,,,2,2,1,2,1,"… by assessing the role of CEO duality on environmental activism. … activist hedge funds and total activism, respectively, while this study focusses on environmental activism (where activists …",https://onlinelibrary.wiley.com/doi/pdf/10.1002/bse.3751,https://scholar.google.com/scholar?q=related:GaQuYkmf8rYJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
15,"K Chuah, MR DesJardine, M Goranova, ...",Shareholder activism research: A system-level view,2024,Academy of …,journals.aom.org,https://journals.aom.org/doi/abs/10.5465/annals.2022.0069,https://scholar.google.com/scholar?cites=1968134582825978203&as_sdt=2005&sciodt=2007&hl=en,23,12/12/24 10:04,,10.5465/annals.2022.0069,,,,,,,15,15,4,4,1,"… on shareholder activism to identify what we know about different aspects of activist–firm … map of the shareholder activism process, including how activists identify target firms, the …",https://www.researchgate.net/profile/Maria-Goranova/publication/373617564_Shareholder_Activism_Research_A_System-Level_View/links/64f9ad8a05a98c1b63fa2781/Shareholder-Activism-Research-A-System-Level-View.pdf,https://scholar.google.com/scholar?q=related:WwmBt_k3UBsJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
0,C Miramo,Corporate Sociopolitical Activism: exploring the Need for Strategic Collaboration between CEOs and Employees,2024,,theseus.fi,https://www.theseus.fi/handle/10024/854844,,24,12/12/24 10:04,,,,,,,,,0,0,0,1,1,"… Activism (CA) and CEO Activism (CEOA). Moreover, it investigates practical examples of CSA initiatives, illustrating the roles of CEOs … collaboration between CEOs and employees to …",https://www.theseus.fi/bitstream/handle/10024/854844/Miramo_Claudia.pdf?sequence=2,https://scholar.google.com/scholar?q=related:EafybwsYqqUJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
27,PWJ Verlegh,Perspectives: a research-based guide for brand activism,2024,International Journal of Advertising,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/02650487.2023.2228117,https://scholar.google.com/scholar?cites=7572235766662725182&as_sdt=2005&sciodt=2007&hl=en,25,12/12/24 10:04,,10.1080/02650487.2023.2228117,,,,,,,27,27,27,1,1,"… that CEO activism deters nonaligned employees: on the one hand, an activist CEO might … In addition, although consumer research on brand activism found no substantial differences …",https://www.tandfonline.com/doi/pdf/10.1080/02650487.2023.2228117,https://scholar.google.com/scholar?q=related:Pn5wc0_8FWkJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
0,"MR DesJardine, W Shi, T Werner",Shareholder Activism and the Deterrence Effect of Democratic Politician Shareholders,2024,Organization Science,pubsonline.informs.org,https://pubsonline.informs.org/doi/abs/10.1287/orsc.2023.17495,,26,12/12/24 10:04,,10.1287/orsc.2023.17495,,,,,,,0,0,0,3,1,"… shareholder activism (“financial activism”). Specifically, we examine whether financial activists … We controlled for CEO duality, equal to one if a CEO was also chair of the board, and zero …",,https://scholar.google.com/scholar?q=related:LNSI-xrUuv4J:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
22,"MR DesJardine, W Shi, E Marti",The corporate opportunity structure for shareholder activism: How activist hedge funds exploit board demographic diversity,2024,Organization Science,pubsonline.informs.org,https://pubsonline.informs.org/doi/abs/10.1287/orsc.2023.1679,https://scholar.google.com/scholar?cites=1088569517756301908&as_sdt=2005&sciodt=2007&hl=en,27,12/12/24 10:04,,10.1287/orsc.2023.1679,,,,,,,22,22,7,3,1,… activist hedge fund noted that “lightning strike activists … are very tactical” about timing and noted that “I’ve heard stories from companies we own where the CEO [chief executive officer] …,https://pubsonline.informs.org/doi/full/10.1287/orsc.2023.1679,https://scholar.google.com/scholar?q=related:VMIuezVgGw8J:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
